,minute,player_name,team,xG,psXg,type_2
0,25,Nikola Vlašić,Croatia,0.39,,Off Target
1,26,Mateo Kovačić,Croatia,0.03,,Off Target
2,66,Ante Rebić,Croatia,0.04,0.14,Saved
3,67,Joško Gvardiol,Croatia,0.31,0.62,Saved
4,85,Mario Pašalić,Croatia,0.69,,Off Target
5,85,Ante Budimir,Croatia,0.69,,Blocked
6,85,Mislav Oršić,Croatia,0.84,0.96,Goal
7,90,Mario Pašalić,Croatia,0.38,0.50,Goal
